ticker,filing_date,issuer,insider,n_insiders,title,total_value,ret_5d,bench_ret_5d,excess_ret_5d,ret_30d,bench_ret_30d,excess_ret_30d,ret_90d,bench_ret_90d,excess_ret_90d
IGMS,2023-07-03,"IGM Biosciences, Inc.","Redmile Group, LLC",1,Director,757584.66,0.1331168831168832,-0.002996912954325359,0.13611379607120855,-0.1558441558441559,-0.0020279862096937995,-0.1538161696344621,-0.4383116883116883,-0.014736699790441454,-0.42357498852124686
NHC,2023-07-03,NATIONAL HEALTHCARE CORP,LAROCHE RICHARD F JR,1,Director,128940.0,-0.052813995708862915,-0.002996912954325359,-0.049817082754537556,0.13385047037464926,-0.0020279862096937995,0.13587845658434305,0.1647136491170158,-0.014736699790441454,0.17945034890745726
AENT,2023-07-05,ALLIANCE ENTERTAINMENT HOLDING CORP,4 insiders,4,Director,999600.0,-0.05737704918032793,0.006521788188567745,-0.06389883736889568,-0.15573770491803274,-0.00787579265678251,-0.14786191226125023,-0.5819672131147541,-0.02096450251619164,-0.5610027105985624
FNGR,2023-07-05,"FingerMotion, Inc.",Li Li,1,Officer,240000.0,0.41666666666666674,0.006521788188567745,0.410144878478099,0.14761904761904754,-0.00787579265678251,0.15549484027583005,0.07857142857142851,-0.02096450251619164,0.09953593108762016
KGS,2023-07-05,"Kodiak Gas Services, Inc.",2 insiders,2,"Director,Officer",504000.0,0.05032679738562096,0.006521788188567745,0.04380500919705321,0.24705882352941155,-0.00787579265678251,0.25493461618619406,0.11307189542483664,-0.02096450251619164,0.13403639794102828
SMPL,2023-07-05,Simply Good Foods Co,Tanner Geoff E,1,"Director,Officer",250778.5,-0.012479652740097658,0.006521788188567745,-0.019001440928665403,-0.021975040694519832,-0.00787579265678251,-0.014099248037737322,0.03282691264243076,-0.02096450251619164,0.0537914151586224
TURN,2023-07-05,180 DEGREE CAPITAL CORP. /NY/,Rendino Kevin,1,"Director,Officer",106042.77,-0.010011123470522798,0.006521788188567745,-0.016532911659090543,-0.09899888765294773,-0.00787579265678251,-0.09112309499616522,-0.13904338153503892,-0.02096450251619164,-0.11807887901884728
WBA,2023-07-05,"Walgreens Boots Alliance, Inc.",DRISCOLL JOHN PATRICK,1,Officer,146988.24000000002,0.03622693096377305,0.006521788188567745,0.029705142775205307,-0.03656869446343136,-0.00787579265678251,-0.02869290180664885,-0.3010936431989064,-0.02096450251619164,-0.2801291406827148
BDTX,2023-07-06,"Black Diamond Therapeutics, Inc.",Behbahani Ali,1,Director,5000000.0,0.0948660714285714,0.022517399808943184,0.07234867161962821,-0.3125,-0.007665013874357474,-0.3048349861256425,-0.6026785714285714,0.002160760587726962,-0.6048393320162984
PLCE,2023-07-06,"Childrens Place, Inc.",ELFERS JANE T,1,Officer,1019100.0,-0.006102212051868783,0.022517399808943184,-0.028619611860811967,0.07780320366132742,-0.007665013874357474,0.0854682175356849,-0.07131960335621657,0.002160760587726962,-0.07348036394394353
DOMO,2023-07-07,"DOMO, INC.",Daniel Daniel David III,1,Director,357456.0,0.17902621722846446,0.024466993501311096,0.15455922372715336,0.2790262172284643,-0.004674495496522657,0.283700712724987,-0.36029962546816485,0.0037395963972179924,-0.36403922186538284
BDTX,2023-07-07,"Black Diamond Therapeutics, Inc.","RA CAPITAL MANAGEMENT, L.P.",1,Director,4679250.0,0.09977324263038545,0.024466993501311096,0.07530624912907435,-0.28344671201814053,-0.004674495496522657,-0.2787722165216179,-0.5691609977324263,0.0037395963972179924,-0.5729005941296443
EPSN,2023-07-10,Epsilon Energy Ltd.,Stankowski Jason,1,Director,100000.0,0.025594149908592323,0.02542874039030152,0.00016540951829080441,0.007312614259597838,-0.0007278351453396947,0.008040449404937533,0.014625228519195677,0.0206295774007188,-0.006004348881523125
PMO,2023-07-10,PUTNAM MUNICIPAL OPPORTUNITIES TRUST,Cooper Aaron M,1,"Officer,Other",142111.6944,0.005797101449275477,0.02542874039030152,-0.01963163894102604,-0.05024154589371976,-0.0007278351453396947,-0.04951371074838007,-0.047342995169082136,0.0206295774007188,-0.06797257256980094
PMO,2023-07-11,PUTNAM MUNICIPAL OPPORTUNITIES TRUST,Cooper Aaron M,1,"Officer,Other",130707.49019999999,0.006796116504854233,0.02651087103918992,-0.019714754534335688,-0.04854368932038833,-0.009740993536138887,-0.03880269578424944,-0.043689320388349606,0.01631785924151341,-0.06000717962986302
BOF,2023-07-13,BranchOut Food Inc.,Dalfonsi John,1,Director,150000.0,-0.03548387096774186,0.005827920633508343,-0.0413117916012502,-0.23548387096774193,-0.028183112376546027,-0.2073007585911959,-0.535483870967742,0.0027360085416852087,-0.5382198795094272
CVGW,2023-07-14,CALAVO GROWERS INC,COLE LECIL E,1,Officer,2275500.0,0.1574523116715163,0.006454772079772075,0.15099753959174422,0.06983511154219224,-0.02072204415954404,0.09055715570173628,-0.21920465567410286,0.011084401709401837,-0.2302890573835047
